IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8
-65.22171442,-2.128540577,11.5265855,-101.1163726,-52.31558586,139.4740791,164.5665235,2203.968025
-86.09859913,-2.605509402,11.94521182,-102.7509057,-52.87296333,140.6805975,164.968986,2203.118182
-73.19183465,1.190013988,7.183625962,-100.8624526,-53.29920592,141.9355516,165.3721143,2202.273187
2.104828647,5.348920067,0.11209846,-95.84465838,-53.59907826,143.2388641,165.7759733,2201.433052
78.68475208,5.665783401,-6.306945182,-88.28430667,-53.77856219,144.5898627,166.1806276,2200.597788
66.13854264,0.4413533,-10.558206,-78.91147496,-53.84291624,145.9871518,166.586142,2199.767407
63.59578999,-7.463921671,-12.05664147,-68.42266618,-53.79693693,147.4288737,166.9925814,2198.941921
15.55032943,-14.11564598,-10.47937213,-57.41041288,-53.645246,148.912996,167.4000104,2198.121341
-48.96000372,-15.22952973,-5.907733869,-46.41292659,-53.39244028,150.4374614,167.8084939,2197.305679
39.54098058,-7.031068533,0.380947103,-35.95999772,-53.04311662,152.0002125,168.2180966,2196.494946
-30.28187148,7.117848,6.619082385,-26.58141671,-52.60187186,153.5991922,168.6288832,2195.689154
-9.945954304,19.02831289,10.98634159,-18.80697396,-52.07330285,155.232343,169.0409186,2194.888315
16.26739712,20.3403597,11.53998037,-13.04404594,-51.46200643,156.8976077,169.4542675,2194.09244
-13.440031,5.475261059,6.850424898,-9.156539871,-50.77257943,158.5929289,169.8689948,2193.301541
13.91667684,-15.47039873,-0.620584095,-6.673118504,-50.00961871,160.3162493,170.285165,2192.515629
-16.97214756,-16.88209143,-7.398788652,-5.07832206,-49.1777211,162.0655116,170.7028431,2191.734716
24.65951688,-1.604790747,-10.61966995,-3.835138929,-48.28148345,163.8386585,171.1220938,2190.958814
25.97332181,12.25564822,-9.85395219,-2.324063693,-47.3255026,165.6336327,171.5429818,2190.187934
17.01578487,10.14806454,-5.324086377,-0.039424277,-46.31437539,167.4483769,171.9655719,2189.422088
-31.72585895,-0.379314575,1.805537938,3.174284456,-45.25269866,169.2808338,172.389929,2188.661287
31.6297914,-6.509827843,8.022121734,7.388376985,-44.14506927,171.128946,172.8161177,2187.905543
21.30406472,-5.425737878,10.28486213,12.67416779,-42.99608404,172.9906562,173.2442028,2187.154868
12.75820004,-0.017221522,8.680976623,19.06495497,-41.81033983,174.8639072,173.6742492,2186.409273
-0.397013884,5.803300957,4.24453959,26.40087342,-40.59243347,176.7466416,174.1063214,2185.66877
-16.48951295,7.22351251,-1.68555925,34.29486419,-39.34696181,178.636802,174.5404845,2184.933371
12.11670753,1.07707298,-7.460622261,42.24014286,-38.07852168,180.5323313,174.976803,2184.203086
1.280595183,-7.633309042,-11.9110064,49.80498799,-36.79170995,182.431172,175.4153418,2183.477928
0.811556233,-13.74887269,-14.10401688,56.67311546,-35.49112343,184.3312669,175.8561656,2182.757909
-4.989493488,-13.89588768,-13.47345275,62.67325599,-34.18135899,186.2305587,176.2993393,2182.043039
-2.555769333,-5.641190459,-10.47392361,67.78564877,-32.86701345,188.12699,176.7449275,2181.333331
6.943934861,8.03100962,-5.809007054,72.02245237,-31.55268367,190.0185035,177.192995,2180.628795
-9.926142947,21.73547141,-0.182280692,75.39582536,-30.24296649,191.9030419,177.6436067,2179.929445
13.74356273,28.48462625,5.702677876,77.91792632,-28.94245874,193.778548,178.0968273,2179.23529
11.14101553,29.6025073,11.14229105,79.60091381,-27.65575727,195.6429643,178.5527215,2178.546344
10.47373797,27.94575718,15.60581293,80.4569464,-26.38745893,197.4942336,179.0113541,2177.862617
-21.89519682,25.44114103,19.25382442,80.49766764,-25.14164552,199.3302986,179.4727898,2177.184121
-25.1198991,22.63577573,22.41973814,79.73156001,-23.91923779,201.1491019,179.9370936,2176.510868
24.38779098,15.4857826,25.41869214,78.16218713,-22.71623766,202.9485862,180.40433,2175.842869
20.25447529,-1.095060787,28.49272617,75.7920117,-21.52754607,204.7266943,180.874564,2175.180135
-5.632662274,-19.80828429,31.86560541,72.62400545,-20.34857304,206.4813688,181.3478602,2174.52268
-16.10354203,-30.04431357,35.76109506,68.66317634,-19.1767648,208.2105524,181.8242834,2173.870513
8.013576981,-23.66298877,40.09571351,63.9150414,-18.01007664,209.9121878,182.3038984,2173.223647
14.65508081,-2.401807951,43.55424932,58.38786031,-16.84646385,211.5842177,182.78677,2172.582094
-16.97339471,22.01172781,44.4864471,52.11768991,-15.68388172,213.2245847,183.2729629,2171.945864
20.34972927,18.38005473,41.74241517,45.21234307,-14.52028553,214.8312316,183.7625419,2171.31497
-22.83275021,-4.295088252,36.43708374,37.80328981,-13.35363056,216.402101,184.2555717,2170.689423
