date,price,hushen,close
2014/1/2,2351.311284,2014/1/2,2321.978
2014/1/3,2305.948947,2014/1/3,2290.779
2014/1/6,2277.734667,2014/1/6,2238.637
2014/1/7,2263.747276,2014/1/7,2238.001
2014/1/8,2254.821529,2014/1/8,2241.911
2014/1/9,2254.915846,2014/1/9,2222.221
2014/1/10,2227.860621,2014/1/10,2204.851
2014/1/13,2212.365851,2014/1/13,2193.679
2014/1/14,2240.085748,2014/1/14,2212.846
2014/1/15,2241.501616,2014/1/15,2208.941
2014/1/16,2229.754616,2014/1/16,2211.844
2014/1/17,2203.44822,2014/1/17,2178.488
2014/1/20,2206.919078,2014/1/20,2165.993
2014/1/21,2207.267042,2014/1/21,2187.41
2014/1/22,2250.627088,2014/1/22,2243.796
2014/1/23,2271.126532,2014/1/23,2231.889
2014/1/24,2290.213332,2014/1/24,2245.678
2014/1/27,2236.59451,2014/1/27,2215.919
2014/1/28,2216.872318,2014/1/28,2219.855
2014/1/29,2231.918265,2014/1/29,2227.781
2014/1/30,2235.664646,2014/1/30,2202.45
2014/2/7,2241.533915,2014/2/7,2212.483
2014/2/10,2259.165877,2014/2/10,2267.534
2014/2/11,2284.624929,2014/2/11,2285.562
2014/2/12,2284.430092,2014/2/12,2291.246
2014/2/13,2290.768786,2014/2/13,2279.554
2014/2/14,2332.416887,2014/2/14,2295.575
2014/2/17,2327.679228,2014/2/17,2311.647
2014/2/18,2335.539865,2014/2/18,2282.442
2014/2/19,2316.130337,2014/2/19,2308.656
2014/2/20,2336.467183,2014/2/20,2287.436
2014/2/21,2291.836855,2014/2/21,2264.294
2014/2/24,2253.185434,2014/2/24,2214.509
2014/2/25,2182.0627,2014/2/25,2157.909
2014/2/26,2171.362059,2014/2/26,2163.405
2014/2/27,2185.755193,2014/2/27,2154.108
2014/2/28,2188.60534,2014/2/28,2178.971
2014/3/3,2188.693607,2014/3/3,2190.37
2014/3/4,2198.468629,2014/3/4,2184.273
2014/3/5,2191.89513,2014/3/5,2163.976
2014/3/6,2191.212779,2014/3/6,2173.634
2014/3/7,2174.592411,2014/3/7,2168.358
2014/3/10,2139.668163,2014/3/10,2097.787
2014/3/11,2140.978517,2014/3/11,2108.661
2014/3/12,2146.598112,2014/3/12,2114.134
2014/3/13,2129.706078,2014/3/13,2140.333
2014/3/14,2150.009367,2014/3/14,2122.836
2014/3/17,2155.2009,2014/3/17,2143.038
2014/3/18,2153.599929,2014/3/18,2138.133
2014/3/19,2105.12705,2014/3/19,2120.87
2014/3/20,2110.481252,2014/3/20,2086.967
2014/3/21,2130.968811,2014/3/21,2158.798
2014/3/24,2182.140156,2014/3/24,2176.554
2014/3/25,2175.17772,2014/3/25,2174.44
2014/3/26,2170.427069,2014/3/26,2171.047
2014/3/27,2183.234892,2014/3/27,2155.707
2014/3/28,2183.026492,2014/3/28,2151.965
2014/3/31,2179.292704,2014/3/31,2146.305
2014/4/1,2178.820378,2014/4/1,2163.115
2014/4/2,2206.320551,2014/4/2,2180.727
2014/4/3,2165.757862,2014/4/3,2165.008
2014/4/4,2197.028153,2014/4/4,2185.472
2014/4/8,2240.753239,2014/4/8,2237.316
2014/4/9,2278.786128,2014/4/9,2238.62
2014/4/10,2252.74132,2014/4/10,2273.761
2014/4/11,2285.645164,2014/4/11,2270.666
2014/4/14,2303.54132,2014/4/14,2268.613
2014/4/15,2271.176415,2014/4/15,2229.463
2014/4/16,2243.377256,2014/4/16,2232.526
2014/4/17,2237.191728,2014/4/17,2224.803
2014/4/18,2225.534004,2014/4/18,2224.479
2014/4/21,2216.30681,2014/4/21,2187.248
2014/4/22,2236.215812,2014/4/22,2196.795
2014/4/23,2215.348116,2014/4/23,2194.668
2014/4/24,2195.477553,2014/4/24,2190.474
2014/4/25,2157.674776,2014/4/25,2167.826
2014/4/28,2143.837113,2014/4/28,2134.969
2014/4/29,2186.422965,2014/4/29,2158.47
2014/4/30,2180.19492,2014/4/30,2158.659
2014/5/5,2172.772866,2014/5/5,2156.47
2014/5/6,2190.65958,2014/5/6,2157.328
2014/5/7,2163.712835,2014/5/7,2137.316
2014/5/8,2161.168186,2014/5/8,2135.496
2014/5/9,2154.696708,2014/5/9,2133.911
2014/5/12,2185.322034,2014/5/12,2180.054
2014/5/13,2215.421668,2014/5/13,2174.852
2014/5/14,2208.006916,2014/5/14,2172.372
2014/5/15,2165.249055,2014/5/15,2144.084
2014/5/16,2164.452948,2014/5/16,2145.952
2014/5/19,2168.297431,2014/5/19,2115.143
2014/5/20,2117.142709,2014/5/20,2115.771
2014/5/21,2147.116685,2014/5/21,2135.905
2014/5/22,2161.980821,2014/5/22,2130.868
2014/5/23,2146.809915,2014/5/23,2148.414
2014/5/26,2162.196413,2014/5/26,2155.976
2014/5/27,2159.505018,2014/5/27,2147.28
2014/5/28,2165.040048,2014/5/28,2169.352
2014/5/29,2167.262703,2014/5/29,2155.164
2014/5/30,2183.774339,2014/5/30,2156.464
2014/6/3,2154.946905,2014/6/3,2149.918
2014/6/4,2154.973059,2014/6/4,2128.274
2014/6/5,2134.94704,2014/6/5,2150.602
2014/6/6,2174.280583,2014/6/6,2134.716
2014/6/9,2148.263248,2014/6/9,2134.281
2014/6/10,2164.716615,2014/6/10,2161.268
2014/6/11,2183.841254,2014/6/11,2160.766
2014/6/12,2153.715176,2014/6/12,2153.41
2014/6/13,2205.468805,2014/6/13,2176.242
2014/6/16,2212.865729,2014/6/16,2191.855
2014/6/17,2209.164231,2014/6/17,2169.674
2014/6/18,2187.080674,2014/6/18,2160.239
2014/6/19,2176.343101,2014/6/19,2126.907
2014/6/20,2135.004987,2014/6/20,2136.729
2014/6/23,2154.992243,2014/6/23,2134.11
2014/6/24,2170.2083,2014/6/24,2144.821
2014/6/25,2147.334843,2014/6/25,2133.371
2014/6/26,2157.447618,2014/6/26,2149.076
2014/6/27,2177.010738,2014/6/27,2150.258
2014/6/30,2180.945213,2014/6/30,2165.118
2014/7/1,2172.799377,2014/7/1,2164.559
2014/7/2,2193.696007,2014/7/2,2170.867
2014/7/3,2208.229082,2014/7/3,2180.192
2014/7/4,2192.170653,2014/7/4,2178.695
2014/7/7,2202.420562,2014/7/7,2176.289
2014/7/8,2187.594016,2014/7/8,2180.473
2014/7/9,2183.901345,2014/7/9,2148.71
2014/7/10,2155.150036,2014/7/10,2142.847
2014/7/11,2170.164027,2014/7/11,2148.009
2014/7/14,2190.202417,2014/7/14,2171.758
2014/7/15,2174.098244,2014/7/15,2174.976
2014/7/16,2160.017159,2014/7/16,2170.868
2014/7/17,2164.483756,2014/7/17,2157.068
2014/7/18,2181.406997,2014/7/18,2164.144
2014/7/21,2197.840085,2014/7/21,2166.295
2014/7/22,2209.401634,2014/7/22,2192.698
2014/7/23,2233.776435,2014/7/23,2197.833
2014/7/24,2249.006551,2014/7/24,2237.015
2014/7/25,2266.69303,2014/7/25,2260.454
2014/7/28,2322.657402,2014/7/28,2323.897
2014/7/29,2350.921748,2014/7/29,2331.369
2014/7/30,2328.322571,2014/7/30,2322.011
2014/7/31,2354.035055,2014/7/31,2350.251
2014/8/1,2364.149083,2014/8/1,2329.402
2014/8/4,2368.94731,2014/8/4,2375.62
2014/8/5,2403.825787,2014/8/5,2369.353
2014/8/6,2378.45456,2014/8/6,2363.221
2014/8/7,2348.364536,2014/8/7,2327.457
2014/8/8,2351.146975,2014/8/8,2331.134
2014/8/11,2368.003643,2014/8/11,2365.349
2014/8/12,2383.804626,2014/8/12,2357.052
2014/8/13,2391.759868,2014/8/13,2358.901
2014/8/14,2352.848367,2014/8/14,2335.945
2014/8/15,2379.72918,2014/8/15,2360.635
2014/8/18,2394.599478,2014/8/18,2374.562
2014/8/19,2375.764017,2014/8/19,2374.768
2014/8/20,2375.742089,2014/8/20,2366.14
2014/8/21,2385.031247,2014/8/21,2354.244
2014/8/22,2366.367977,2014/8/22,2365.364
2014/8/25,2368.846574,2014/8/25,2342.863
2014/8/26,2342.333018,2014/8/26,2324.092
2014/8/27,2344.331825,2014/8/27,2327.595
2014/8/28,2342.857844,2014/8/28,2311.278
2014/8/29,2353.08897,2014/8/29,2338.287
2014/9/1,2374.441989,2014/9/1,2355.317
2014/9/2,2397.036761,2014/9/2,2386.46
2014/9/3,2417.25408,2014/9/3,2408.838
2014/9/4,2433.457597,2014/9/4,2426.224
2014/9/5,2460.16955,2014/9/5,2449.259
2014/9/9,2455.775171,2014/9/9,2445.224
2014/9/10,2463.079251,2014/9/10,2432.433
2014/9/11,2462.715445,2014/9/11,2423.454
2014/9/12,2445.843142,2014/9/12,2438.358
2014/9/15,2450.530328,2014/9/15,2437.189
2014/9/16,2419.543467,2014/9/16,2388.765
2014/9/17,2433.602878,2014/9/17,2401.326
2014/9/18,2431.366968,2014/9/18,2408.664
2014/9/19,2410.77109,2014/9/19,2425.211
2014/9/22,2401.494066,2014/9/22,2378.92
2014/9/23,2425.999323,2014/9/23,2399.462
2014/9/24,2466.651892,2014/9/24,2441.864
2014/9/25,2460.444686,2014/9/25,2436.965
2014/9/26,2450.641062,2014/9/26,2437.201
2014/9/29,2452.566991,2014/9/29,2447.799
2014/9/30,2459.022525,2014/9/30,2450.988
2014/10/8,2487.419549,2014/10/8,2478.383
2014/10/9,2502.197871,2014/10/9,2481.955
2014/10/10,2493.544171,2014/10/10,2466.789
2014/10/13,2500.845424,2014/10/13,2454.946
2014/10/14,2495.354896,2014/10/14,2446.562
2014/10/15,2486.393148,2014/10/15,2463.874
2014/10/16,2471.231717,2014/10/16,2444.395
2014/10/17,2464.580827,2014/10/17,2441.732
2014/10/20,2452.880276,2014/10/20,2454.711
2014/10/21,2471.841858,2014/10/21,2433.391
2014/10/22,2429.83051,2014/10/22,2418.641
2014/10/23,2411.991213,2014/10/23,2395.936
2014/10/24,2429.463719,2014/10/24,2390.706
2014/10/27,2405.752507,2014/10/27,2368.832
2014/10/28,2400.293438,2014/10/28,2416.653
2014/10/29,2465.655949,2014/10/29,2451.384
