date,open,close,high,low,volume,money
2012/1/4,2361.499,2298.753,2365.988,2298.298,3434456700,32572551267
2012/1/5,2290.78,2276.385,2316.657,2272.153,4301648000,37635272074
2012/1/6,2274.352,2290.601,2291.885,2254.567,3519899200,31079362325
2012/1/9,2291.182,2368.57,2368.889,2271.717,5472734100,51478126954
2012/1/10,2365.768,2447.349,2449.955,2361.281,8115498900,75249157103
2012/1/11,2444.757,2435.608,2453.146,2423.322,5870567400,57587219272
2012/1/12,2426.82,2435.219,2464.378,2423.321,4712127500,47877407259
2012/1/13,2438.405,2394.334,2445.787,2374.545,4551399700,47228338588
2012/1/16,2376.953,2345.649,2394.498,2345.633,3052714500,34410385319
2012/1/17,2347.568,2460.601,2462.429,2329.248,6420564800,64324131068
2012/1/18,2464.92,2422.189,2485.498,2414.527,6389235800,67058838880
2012/1/19,2423.857,2468.35,2480.206,2414.985,5561572600,56377653304
2012/1/20,2476.73,2504.086,2510.34,2462.594,5452978300,57474475709
2012/1/30,2508.877,2460.72,2508.877,2460.396,4351714800,44770885276
2012/1/31,2462.338,2464.26,2472.839,2447.768,3070150100,32694132107
2012/2/1,2458.233,2428.994,2481.664,2423.45,3501537400,37752320797
2012/2/2,2437.47,2486.238,2486.238,2429.709,4206698500,44126383715
2012/2/3,2478.336,2506.09,2514.645,2470.28,4994924000,51507545973
2012/2/6,2511.172,2504.322,2520.758,2488.709,4507990500,47541523547
2012/2/7,2489.032,2457.954,2489.032,2441.698,3967916400,40034277145
2012/2/8,2456.422,2528.236,2534.162,2450.999,5618645600,61721305024
2012/2/9,2525.589,2529.231,2546.025,2513.131,5929975100,63456204565
2012/2/10,2521.676,2533.624,2560.027,2521.155,6157587700,60029482361
2012/2/13,2504.41,2531.981,2553.446,2496.305,5191397300,54282622440
2012/2/14,2528.967,2522.107,2533.264,2506.537,4043010100,43723682304
2012/2/15,2515.829,2549.607,2562.071,2511.289,5809037000,60422394145
2012/2/16,2544.641,2536.074,2559.345,2519.043,5439543100,55165633314
2012/2/17,2551.815,2537.086,2558.345,2522.856,3899471600,40458003413
2012/2/20,2571.907,2540.706,2574.746,2539.904,5615332900,56748912893
2012/2/21,2544.835,2562.453,2562.909,2520.786,4789480800,47758225547
2012/2/22,2564.315,2597.476,2598.863,2560.343,7637665600,76421806874
2012/2/23,2595.779,2606.256,2614.537,2590.518,7037712600,72612089253
2012/2/24,2607.339,2648.017,2648.017,2602.776,8599970800,88058616716
2012/2/27,2658.121,2656.573,2693.843,2656.573,10151403400,1.07E+11
2012/2/28,2652.342,2662.463,2671.833,2641.459,7759253600,77213053038
2012/2/29,2655.858,2634.143,2666.647,2631.784,5912020600,64875221164
2012/3/1,2622.737,2633.345,2647.785,2621.858,4214844100,46524079738
2012/3/2,2637.961,2679.934,2679.934,2637.961,6412203400,66981591368
2012/3/5,2687.74,2662.698,2694.612,2660.955,7139545800,74973261138
2012/3/6,2654.799,2621.052,2657.963,2615.6,6244714800,68852557821
2012/3/7,2596.479,2603.005,2628.585,2594.128,5694873300,63243293004
2012/3/8,2612.403,2635.791,2645.953,2612.403,5754941300,64458851045
2012/3/9,2644.1,2664.302,2664.414,2631.406,5525892100,65963441747
2012/3/12,2663.243,2654.402,2666.432,2636.423,6232721600,74367701978
2012/3/13,2653.681,2681.073,2681.334,2649.169,5840446900,66429764308
2012/3/14,2694.475,2605.106,2705.754,2595.342,10842654000,1.17E+11
2012/3/15,2602.661,2585.546,2618.252,2575.437,7256596000,77042766482
2012/3/16,2591.8,2623.52,2624.316,2577.245,5809125900,67451822278
2012/3/19,2617.662,2630.013,2631.045,2598.63,5764662500,68803937996
2012/3/20,2622.66,2584.445,2622.66,2584.024,5811406500,64263817216
2012/3/21,2597.375,2587.793,2613.269,2569.075,5800254400,66674920148
2012/3/22,2586.938,2583.747,2599.244,2570.446,4492677700,50115505934
2012/3/23,2575.327,2552.94,2578.825,2544.525,4332925600,47812442986
2012/3/26,2551.425,2555.442,2562.929,2540.696,3181621100,36356133943
2012/3/27,2565.551,2547.143,2571.899,2544.373,3594460400,47394454857
2012/3/28,2538.458,2474.9,2540.417,2471.034,5000579000,54993640999
2012/3/29,2463.688,2443.122,2476.478,2429.732,4613130400,48651595893
2012/3/30,2447.939,2454.899,2461.977,2438.488,3702708600,39139734882
2012/4/5,2449.208,2512.832,2517.386,2441.269,5433168700,58049690964
2012/4/6,2509.445,2519.83,2525.534,2502.703,4236857600,47207795088
2012/4/9,2510.533,2495.146,2518.378,2491.592,3537098600,38180751755
2012/4/10,2490.283,2519.788,2519.812,2459.348,4133590500,44064833898
2012/4/11,2494.517,2520.036,2541.126,2489.325,4251031000,43627983913
2012/4/12,2522.828,2570.436,2570.842,2516.568,5648840900,59536950778
2012/4/13,2575.052,2580.454,2593.788,2570.035,5309264300,61892977442
2012/4/16,2564.231,2574.044,2586.198,2559.781,4083970000,42650756402
2012/4/17,2572.364,2541.883,2578.76,2541.535,3781546700,38328417080
2012/4/18,2550.905,2599.908,2602.106,2545.996,5868840800,59361005883
2012/4/19,2598.329,2596.056,2606.86,2585.301,4644810900,55512931549
2012/4/20,2591.51,2626.839,2627.375,2589.351,6144637900,63829908072
2012/4/23,2624.751,2606.038,2632.092,2599.112,5866493800,62073949557
2012/4/24,2594.801,2604.866,2640.295,2559.464,7113955800,73150514001
2012/4/25,2598.228,2625.99,2631.438,2593.327,6246805300,63529458933
2012/4/26,2632.718,2631.487,2643.768,2617.089,5896566700,64377486667
2012/4/27,2630.549,2626.157,2637.918,2623.598,4823358600,53345515969
2012/5/2,2660.673,2683.487,2697.949,2643.527,8014865400,92366091966
2012/5/3,2679.517,2691.518,2693.88,2675.811,5936109000,72337336415
2012/5/4,2689.624,2715.879,2716.033,2677.14,6321808600,73699551125
2012/5/7,2699.447,2717.778,2717.778,2694.321,6854731400,82715668565
2012/5/8,2717.408,2709.116,2717.825,2683.562,6311084000,73744497984
2012/5/9,2685.187,2657.514,2685.187,2655.322,5840028300,69482578578
2012/5/10,2657.87,2657.214,2667.675,2649.38,4696257600,54056953614
2012/5/11,2652.313,2636.917,2666.566,2636.523,4100614300,49392898299
2012/5/14,2653.806,2615.534,2656.284,2613.349,5208248400,60331294491
2012/5/15,2597.644,2617.374,2618.175,2591.598,4576727100,51374761939
2012/5/16,2610.161,2574.647,2612.625,2574.082,4328027400,47863536278
2012/5/17,2577.961,2613.942,2619.589,2571.201,4372838900,49203910040
2012/5/18,2595.547,2573.976,2603.191,2567.302,4342212400,46907511775
2012/5/21,2572.369,2587.231,2604.219,2563.973,3860209000,44300405781
2012/5/22,2598.167,2627.525,2627.602,2597.603,4277352900,49392413014
2012/5/23,2621.786,2616.869,2635.78,2598.29,4371953100,52563403310
2012/5/24,2613.095,2595.26,2630.414,2588.209,4284406600,50064439874
2012/5/25,2595.261,2573.103,2602.17,2565.647,3927300400,41420081778
2012/5/28,2562.596,2614.689,2614.849,2545.336,5633927500,58412343035
2012/5/29,2615.145,2650.854,2658.255,2612.564,7213563700,78681504585
2012/5/30,2646.37,2642.258,2655.163,2636.518,5185543600,56976275428
2012/5/31,2623.158,2632.042,2645.591,2617.228,4410746900,49875041384
2012/6/1,2633.601,2632.998,2653.857,2623.289,4419105600,53843404285
2012/6/4,2598.733,2559.026,2608.316,2558.92,5247850200,60615569451
2012/6/5,2565.186,2558.842,2573.887,2548.76,3777991000,43553303591
2012/6/6,2564.226,2557.401,2573.739,2547.334,3385769400,41316908581
2012/6/7,2579.425,2542.184,2584.039,2536.258,3484118600,42053000073
2012/6/8,2558.843,2524.329,2559.128,2520.409,4385642600,47638005888
2012/6/11,2529.599,2558.265,2565.429,2523.774,4009826000,43449657466
2012/6/12,2543.765,2540.178,2553.915,2529.951,3793667600,40259911520
2012/6/13,2546.791,2580.636,2581.115,2539.632,4501456800,51291269477
2012/6/14,2573.329,2560.421,2584.709,2558.565,4024793400,46331822555
2012/6/15,2565.189,2568.054,2580.17,2538.572,4278607800,48868302897
2012/6/18,2576.629,2581.212,2593.218,2572.987,3569362800,40852450181
2012/6/19,2577.362,2558.621,2577.362,2556.103,3270055300,37020041266
2012/6/20,2563.643,2552.611,2570.663,2549.438,2985063900,33573669769
2012/6/21,2547.048,2512.185,2547.048,2502.419,3539673200,38607959039
2012/6/25,2501.163,2456.518,2501.163,2455.008,4010673500,42503507171
2012/6/26,2442.562,2454.915,2465.12,2434.64,3173400800,33896511717
2012/6/27,2452.666,2447.195,2470.762,2444.343,3000755300,31437597414
2012/6/28,2451.664,2425.729,2459.189,2425.24,3054311300,34418793210
2012/6/29,2418.862,2461.612,2462.815,2417.486,3799494100,40976538386
2012/7/2,2473.545,2465.238,2473.966,2452.986,4051007800,45651476527
2012/7/3,2464.85,2468.721,2490.547,2457.449,3869335400,45004653879
2012/7/4,2474.527,2464.919,2481.336,2455.995,3445214200,37837659888
2012/7/5,2450.3,2430.37,2450.3,2420.001,3472614500,35946204421
2012/7/6,2435.059,2472.614,2477.231,2420.356,4961060500,56601778899
2012/7/9,2455.892,2416.036,2470.205,2414.953,4922330200,54601732513
2012/7/10,2411.003,2406.706,2426.529,2402.371,3554998400,38539025245
2012/7/11,2402.184,2425.572,2427.795,2402.154,3762431200,39851892244
2012/7/12,2420.036,2449.181,2460.559,2404.584,5671769100,65137536868
2012/7/13,2441.013,2450.633,2467.99,2438.979,3672525600,42013581196
2012/7/16,2452.595,2399.731,2452.595,2399.61,4277187000,45844882072
2012/7/17,2391.897,2414.201,2421.929,2391.281,3342432900,38285441648
2012/7/18,2412.062,2414.335,2420.778,2373.647,4175178800,44325492550
2012/7/19,2407.443,2424.322,2444.057,2401.291,4694905200,47704038961
2012/7/20,2415.71,2398.455,2423.804,2392.181,3761975400,36683623955
2012/7/23,2379.885,2365.431,2379.885,2357.507,3239036900,33178928582
2012/7/24,2353.22,2375.992,2392.353,2352.803,3031007900,31149105846
2012/7/25,2368.384,2360.083,2381.043,2357.468,2489650100,25730598144
2012/7/26,2360.134,2347.488,2374.874,2344.695,3131409400,31326395007
2012/7/27,2353.942,2349.108,2364.984,2341.293,3109052500,33048182067
2012/7/30,2350.782,2335.793,2367.029,2333.999,3048485100,29907972257
2012/7/31,2336.882,2332.922,2350.071,2329.505,3209972300,31196332451
