date,code,label
2013/6/30,002431.XSHE,1
2013/6/30,000970.XSHE,1
2013/6/30,000895.XSHE,1
2013/6/30,000869.XSHE,1
2013/6/30,600085.XSHG,1
2013/6/30,000538.XSHE,1
2013/6/30,000718.XSHE,1
2013/6/30,002310.XSHE,1
2013/6/30,600276.XSHG,1
2013/6/30,601216.XSHG,1
2013/6/30,002415.XSHE,1
2013/6/30,002007.XSHE,1
2013/6/30,600256.XSHG,1
2013/6/30,002378.XSHE,1
2013/6/30,600547.XSHG,1
2013/6/30,000858.XSHE,1
2013/6/30,000024.XSHE,1
2013/6/30,601933.XSHG,1
2013/6/30,600549.XSHG,1
2013/6/30,600432.XSHG,1
2013/6/30,000568.XSHE,1
2013/6/30,601099.XSHG,1
2013/6/30,600779.XSHG,1
2013/6/30,002304.XSHE,1
2013/6/30,601336.XSHG,1
2013/6/30,000750.XSHE,1
2013/6/30,600331.XSHG,1
2013/6/30,002069.XSHE,1
2013/6/30,600863.XSHG,1
2013/6/30,600315.XSHG,1
2013/6/30,600497.XSHG,1
2013/6/30,000758.XSHE,1
2013/6/30,600259.XSHG,1
2013/6/30,000596.XSHE,1
2013/6/30,601318.XSHG,1
2013/6/30,601377.XSHG,1
2013/6/30,000651.XSHE,1
2013/6/30,000629.XSHE,1
2013/6/30,000059.XSHE,1
2013/6/30,601899.XSHG,1
2013/6/30,600111.XSHG,1
2013/6/30,600809.XSHG,1
2013/9/30,002024.XSHE,1
2013/9/30,601118.XSHG,1
2013/9/30,600895.XSHG,1
2013/9/30,600832.XSHG,1
2013/9/30,000156.XSHE,1
2013/9/30,600588.XSHG,1
2013/9/30,600169.XSHG,1
2013/9/30,002001.XSHE,1
2013/9/30,000039.XSHE,1
2013/9/30,600108.XSHG,1
2013/9/30,600718.XSHG,1
2013/9/30,600827.XSHG,1
2013/9/30,600637.XSHG,1
2013/9/30,000001.XSHE,1
2013/9/30,000933.XSHE,1
2013/9/30,601633.XSHG,1
2013/9/30,600030.XSHG,1
2013/9/30,601006.XSHG,1
2013/9/30,601989.XSHG,1
2013/9/30,600415.XSHG,1
2013/9/30,600837.XSHG,1
2013/9/30,600369.XSHG,1
2013/9/30,600111.XSHG,1
2013/9/30,601166.XSHG,1
2013/9/30,601808.XSHG,1
2013/9/30,600267.XSHG,1
2013/9/30,002415.XSHE,1
2013/9/30,600582.XSHG,1
2013/9/30,600271.XSHG,1
2013/9/30,601888.XSHG,1
2013/9/30,600655.XSHG,1
2013/9/30,601601.XSHG,1
2013/9/30,000157.XSHE,1
2013/9/30,000876.XSHE,1
2013/9/30,600873.XSHG,1
2013/9/30,601699.XSHG,1
2013/9/30,002603.XSHE,1
2013/9/30,601600.XSHG,1
2013/9/30,000338.XSHE,1
2013/9/30,600031.XSHG,1
2013/9/30,600550.XSHG,1
2013/9/30,002673.XSHE,1
2013/9/30,000623.XSHE,1
